Country,Clicks,Impressions,CTR,Position
Malaysia,12,309,3.88%,16.97
United Kingdom,2,33,6.06%,25.45
Netherlands,1,8,12.5%,14.5
United States,0,335,0%,17.83
Canada,0,21,0%,6.38
India,0,17,0%,5.88
Vietnam,0,16,0%,10.5
Singapore,0,14,0%,8
Indonesia,0,13,0%,17.38
Mexico,0,10,0%,6.3
Brazil,0,10,0%,7.5
Pakistan,0,8,0%,15.5
Germany,0,7,0%,17.86
Australia,0,7,0%,30.71
Poland,0,6,0%,9.67
Nigeria,0,6,0%,10.17
Thailand,0,5,0%,4.8
Argentina,0,5,0%,7.2
South Korea,0,5,0%,9
Italy,0,4,0%,6.75
Bangladesh,0,4,0%,8.5
Switzerland,0,4,0%,12
Venezuela,0,4,0%,20.5
Sweden,0,4,0%,23.5
Saudi Arabia,0,3,0%,2
Philippines,0,3,0%,3
Hong Kong,0,3,0%,5.67
Turkey,0,3,0%,6
Sri Lanka,0,3,0%,8.67
Japan,0,3,0%,12.67
Chile,0,3,0%,14
Nepal,0,3,0%,16
Romania,0,2,0%,3
Kazakhstan,0,2,0%,4.5
Uzbekistan,0,2,0%,5
Iraq,0,2,0%,6
Hungary,0,2,0%,6.5
South Africa,0,2,0%,6.5
Qatar,0,2,0%,8.5
Ukraine,0,2,0%,20.5
Spain,0,1,0%,1
Finland,0,1,0%,1
France,0,1,0%,1
Georgia,0,1,0%,1
New Zealand,0,1,0%,1
Serbia,0,1,0%,1
Brunei,0,1,0%,2
Panama,0,1,0%,3
China,0,1,0%,4
United Arab Emirates,0,1,0%,5
Oman,0,1,0%,5
Uruguay,0,1,0%,6
Kenya,0,1,0%,7
Myanmar (Burma),0,1,0%,7
Mauritius,0,1,0%,7
Bolivia,0,1,0%,8
Costa Rica,0,1,0%,8
Honduras,0,1,0%,8
Ireland,0,1,0%,8
Paraguay,0,1,0%,8
Russia,0,1,0%,8
Estonia,0,1,0%,9
Taiwan,0,1,0%,9
Belgium,0,1,0%,10
Algeria,0,1,0%,10
Angola,0,1,0%,11
Colombia,0,1,0%,11
Peru,0,1,0%,11
Czechia,0,1,0%,12
Tunisia,0,1,0%,17
Belarus,0,1,0%,18
Jordan,0,1,0%,18
Palestine,0,1,0%,18
Lithuania,0,1,0%,21
Egypt,0,1,0%,22
Ecuador,0,1,0%,29
Morocco,0,1,0%,29
Nicaragua,0,1,0%,30
Cape Verde,0,1,0%,31
Kuwait,0,1,0%,40
