Date,Clicks,Impressions,CTR,Position
2026-04-12,1,22,4.55%,15
2026-04-13,0,31,0%,20
2026-04-14,0,32,0%,16.2
2026-04-15,2,38,5.26%,10.9
2026-04-16,0,30,0%,23.8
2026-04-17,0,29,0%,25
2026-04-18,0,17,0%,19.4
2026-04-19,0,35,0%,12.9
2026-04-20,0,35,0%,18.3
2026-04-21,2,30,6.67%,14.2
2026-04-22,3,46,6.52%,16
2026-04-23,0,27,0%,15.6
2026-04-24,0,32,0%,17.5
2026-04-25,0,43,0%,12.5
2026-04-26,0,32,0%,16.9
2026-04-27,2,37,5.41%,18
2026-04-28,0,26,0%,14.5
2026-04-29,0,46,0%,20.2
2026-04-30,0,32,0%,18.5
2026-05-01,1,52,1.92%,13.5
2026-05-02,0,17,0%,10.1
2026-05-03,1,25,4%,9.7
2026-05-04,0,23,0%,17.5
2026-05-05,1,35,2.86%,13.3
2026-05-06,2,64,3.12%,14.2
2026-05-07,0,33,0%,15.7
2026-05-08,0,32,0%,12.6
2026-05-09,0,34,0%,13.7
